Aalscholver/Great Cormorant ;78
aalscholver, Dwerg-;78
Aalscholver, Geoorde ;418
Aalscholver, Grote ;78 
aalscholver, Kuif-;78
Aasgier / Egyptian Vulture ;92 
Accipiter badius ;419 
Accipiter brevipes ;114
Accipiter gentilis ;112 
Accipiter nisus ;112
Acridotheres tristis ;425 
Acrocephalus agricola ;320 
Acrocephalus arundinaceus ;322
Acrocephalus dumetorum ;320 
Acrocephalus griseldis ;322
Acrocephalus melanopogon ;314 
Acrocephalus orientalis ;420 
Acrocephalus paludicola ;314
Acrocephalus palustris ;320 
Acrocephalus schoenobaenus ;314
Acrocephalus scirpaceus ;320 
Acrocephalus stentoreus ;322
Actitis hypoleucos ;154 
Actitis macularius ;168
Aegithalos caudatus ;346 
Aegolius funereus ;226 
Aegypius monachus ;90
Aenigmatolimnas marginalis ;419
Aethia cristatella ;420 
Aethia psittacula ;420
Afrikaans Porseleinhoen / Striped Crake ;419 
Afrikaans Waterhoen / LesserMoorhen ;419 
Afrikaanse Gaper / African Openbill ;419
Afrikaanse Koningsstern / African Royal Tern ;202
Afrikaanse Kwartelkoning / African Crake ;419
Afrikaanse Lepelaar / African Spoonbill ;423
Afrikaanse Maraboe / Marabou Stork ;419 
Afrikaanse Nimmerzat / Yellow-billed Stork ;410 
Afrikaanse Roodborsttapuit / African Stonechat ;292 
Afrikaanse Schaarbek / African Skimmer ;420
Afrikaanse Slangenhalsvogel/ African Darter ;418 
Afrikaanse Velduil / Marsh Owl ;228
Afrikaanse Woestijngrasmus / African Desert Warbler ;312 
Afrikaanse Woudaap / Dwarf Bittern ;409
Afrikaans Porseleinhoen / Striped Crake ;419
Afrikaans Purperhoen / Allen's Gallinule ;411
Agapornis fischeri ;424 
Agapornis, Fischers ;424
Agropsar sturninus ;421 
Aix galericulata ;423 
Aix sponsa ;422
Alaemon alaudipes ;256 
Alaskastrandloper / Western Sandpiper ;164 
Alauda arvensis ;248 
Alauda gulgula ;248
Alauda leucoptera ;254 
albatros, Atlantische Geelneus- ;418
albatros, Tristan- ;418
albatros, Wenkbrauw- ;76 
albatros, Witkap-;418
Alca torda ;210
Alcedo atthis ;238 
Alectoris barbara ;54
Alectoris chukar ;54 
Alectoris graeca ;54 
Alectoris rufa ;54
Aleoetenstern / Aleutian Tern ;420
Algerijnse Boomklever / Algerian Nuthatch ;348
Alk/Razorbill ;210 
Alk, Aziatische Marmer- ;420
Alk, Kleine ;208 
alk, Kuif-;420
alk, Papegaai- ;420
alk, Zilver-;420 
Alle alle ;208
Alopochen aegyptiaca ;22 
Alpengierzwaluw / Alpine Swift ;236
Alpenheggenmus / Alpine Accentor ;274
Alpenkauw / Alpine Chough ;364
Alpenkraai / Red-billed Chough ;364 
Alpensneeuwhoen / Rock Ptarmigan ;48 
Amandava amandava ;426 
Amerikaans Purperhoen / Purple Gallinule ;411
Amerikaanse Blauwe Reiger / Great Blue Heron ;419 
Amerikaanse Bontbekplevier / Semipalmated Plover ;138 
Amerikaanse Boslijster / Wood Thrush ;420
Amerikaanse Bosruiter / Solitary Sandpiper ;168 
Amerikaanse Dwergstern / Least Tern ;420
Amerikaanse Fregatvogel / Magnificent Frigatebird ;409
Amerikaanse Goudplevier / American Golden Plover ;144
Amerikaanse Grote Stern / American Sandwich (Cabot's) Tern ;198 
Amerikaanse Grote Zee-eend / American White-winged Scoter ;46
Amerikaanse Houtsnip / American Woodcock ;419
Amerikaanse Kleine Zilverreiger / Snowy Egret ;82,;410
Amerikaanse Klifzwaluw / American Cliff Swallow ;415
Amerikaanse Meerkoet / American Coot ;411
Amerikaanse Nachtzwaluw / Common Nighthawk ;234
Amerikaanse Oeverloper / Spotted Sandpiper ;168 
Amerikaanse Regenwulp / Hudsonian Whimbrel ;158 
Amerikaanse Roodstaart / American Redstart ;404 
Amerikaanse Smient / American Wigeon ;26 
Amerikaanse Tafeleend / Redhead ;46
Amerikaanse Torenvalk / American Kestrel ;411
Amerikaanse Watersnip / Wilson's Snipe ;413
Amerikaanse Wintertaling / Green-winged Teal ;46 
Amerikaanse Woudaap / Least Bittern ;418 
Amerikaanse Zeearend / Bald Eagle ;419
Amerikaanse Zee-eend / American Scoter ;46 
Amerikaanse Zilvermeeuw / American Herring Gull ;184
Amerikaanse Zwarte Eend / American Black Duck ;24
Amerikaanse Zwarte Stern / American Black Tern ;206 
Ammomanes cinctura ;252 
Ammomanes deserti ;252
Ammoperdix griseogularis ;54 
Ammoperdix heyi ;54
Amoerroodpootvalk / Amur Falcon ;411
Anas acuta ;24
Anas americana ;26
Anas capensis ;408 
Anas carolinensis ;46
Anas clypeata ;26
Anas crecca ;28
Anas cyanoptera ;423
Anas discors ;28 
Anas erythrorhyncha ;418
Anas falcata ;408 
Anas formosa ;28
Anas penelope ;26
Anas platyrhynchos ;24 
Anas querquedula ;28
Anas rubripes ;24 
Anas strepera ;24
Anastomus lamelligerus ;419 
Anatolische Woestijnplevier / Anatolian Sand Plover ;140
Anhinga rufa ;418 
Anous stolidus ;420 
Anser albifrons ;16
Anser (albifrons) flavirostris ;16 
Anser anser ;18
Anser brachyrhynchus ;18 
Anser caerulescens ;14
Anser canagicus ;422 
Anser erythropus ;16
Anser fabalis ;18 
Anser indicus ;22
Anser rossii ;14, ;422
Anser serrirostris ;18
Anthus berthelotii ;264
Anthus campestris ;262
Anthus cervinus ;268
Anthus godlewskii ;262 
Anthus gustavi ;268 
Anthus hodgsoni ;266
Anthus petrosus ;264
Anthus pratensis ;266
Anthus richardi ;262
Anthus rubescens ;264
Anthus similis ;262
Anthus spinoletta ;264
Anthus trivialis ;266
Appelvink / Hawfinch ;384
Apus affinis ;236
Apus apus ;236
Apus caffer ;236
Apus melba ;236
Apus pacificus ;415
Apus pallidus ;236
Apus unicolor ;236
Aquila adalberti ;94
Aquila chrysaetos ;94
Aquila clanga ;96
Aquila fasciata ;100
Aquila heliaca ;94
Aquila nipalensis ;98
Aquila pennata ;100
Aquila pomarina ;96
Aquila rapax ;98
Aquila verreauxii ;98
Aquila wahlbergi ;419
Arabische Babbelaar / Arabian Babbler ;360
Arabische Bulbul / White. spectacled Bulbul ;358
Arabische Stern / White-cheeked Tern ;204
Arabische Trap / Arabian Bustard ;412
Arabische Woestijnpatrijs / Sand Partridge ;54
Arabische Zwartkop / Arabian Warbler ;304
Aratinga acuticauda ;425
aratinga, Blauwkop- ;425
Ardea cinerea ;84
Ardea goliath ;410
Ardea herodias ;419
Ardea melanocephala ;419
Ardea purpurea ;84
Ardeola bacchus ;418
Ardeola ralloides ;82 
Ardeotis arabs ;412
Arenaria interpres ;148
arend, Amerikaanse Zee- ;419
arend, Bastaard- ;96
arend, Dwerg- ;100
arend, Havik- ;100
arend, Keizer- ;94
arend, Savanne- ;98
arend, Schreeuw- ;96
arend, Slangen- ;100
arend, Spaanse Keizer- ;94
arend, Steen- ;94
arend, Steppe- ;98
arend, Vis- ;92
Arend, Wahlbergs ;419
arend, Witbandzee-;410
arend, Zee- ;92
Arend. Zwarte ;98
Arendbuizerd / Long-legged Buzzard ;106
Armeense Meeuw / Armenian Gull ;186
Ascensionfregatvogel / Ascension Frigatebird ;418
Asio capensis ;228
Mammeus ;228
Mammeus otus ;228
Athene noctua ;232
Athene vidali ;232
Atlantische Geelneusalbatros / Atlantic Yellow-nosed Albatross ;418
Atlasbergvink / African Crimson-winged Finch ;390
Atlasgrasmus /Tristram's Warbler ;310
Atlasvink / Atlas Chaffinch ;376
Atlasvliegenvanger / Atlas Flycatcher ;340
Audouins Meeuw / Audouin's Gull ;186
Auerhoen / Western Capercaillie ;50
Australische Grote Pilstorm-vogel / Flesh-footed Shearwater ;418
Avonddikbek / Evening Grosbeak ;416
Aythya affinis ;46
Aythya americana ;46
Aythya collaris ;32
Aythya ferina ;30
Aythya fuligula ;32
Aythya marila ;32
Aythya nyroca ;30 
Aythya valisineria ;46
Aziatische Goudplevier / Pacific Golden Plover ;144
Aziatische Grote Zee-eend / Asian White-winged Scoter ;46
Aziatische Klapekster / Asian Grey Shrike ;352
Aziatische Marmeralk / Long-billed Murrelet ;420
Aziatische Roodborsttapuit / Siberian Stonechat ;292
Aziatische Steenpatrijs / Chukar Partridge ;54
Aziatische Wespendief / Crested Honey Buzzard ;110
Azuurmees / Azure Tit ;342
Azuurzanger / Cerulean Warbler ;421
Baardman / Bearded Reedling ;346
Babbelaar, Arabische ;360
Babbelaar, Bruingele ;360
Billons Kleine Pilstormvogel / Tropical Shearwater ;418
Bairds Strandloper / Baird's Sandpiper ;164
Balearische Grasmus / Balearic Warbler ;310
Balearische Roodkopklauwier / Balearic Woodchat Shrike ;356
Balkanbaardgrasmus / Eastern Subalpine Warbler ;308
Balkanbergfluiter / Eastern Bonelli's Warbler ;328
Balkankwikstaart / Black-headed Wagtail ;270
Balkansperwer / Levant Sparrowhawk ;114
Balkanvliegenvanger / Semi-collared Flycatcher ;340
Baltimoretroepiaal / Baltimore Oriole ;406
Baltische Mantelmeeuw / Baltic Gull ;190
Bandijsvogel / Belted Kingfisher ;238
Barabameeuw / Baraba Gull ;191
Barbarijse Frankolijn / Double-spurred Francolin ;52
Barbarijse Patrijs / Barbary Partridge ;54
Barbarijse Tortel / Barbary Dove ;424
Barbarijse Valk / Barbary Falcon ;120
Barmsijs, Groenlandse ;378 
barmsijs, Groenlandse Witstuit- ;378
Barmsiis, Grote ;378
Barmsijs, Kleine ;378
barmsijs, Witstuit- ;378
Bartramia longicauda ;170
Bartrams Ruiter / Upland Sandpiper ;170
Basrakarekiet / Basra Reed Warbler ;322
Bastaardarend / Greater Spotted Eagle ;96
Bateleur / Bateleur ;411
Beflijster / Ring Ouzel ;296
Bengaalse Stern / Lesser Crested Tern ;202
Bergeend / Common Shelduck ;22
Bergfluiter / Western Bonelli's Warbler ;328
bergfluiter, Balkan- ;328
Bergheggenmus / Siberian Accentor ;274
Berghoen, Kaspisch ;52
Berghoen, Kaukasisch ;52
Bergkalanderleeuwerik / Bimaculated Lark ;254
Bergtjiftjaf / Mountain Chiffchaff ;330
Beringmeeuw / Glaucous-winged Gull ;419
Berthelots Pieper / Berthelot's Pipit ;264
Beukenfeetiran / Acadian Flycatcher ;420
Bijeneter / European Bee-eater ;240
Bijeneter, Groene ;240
Bijeneter, Kleine Groene ;240
bijeneter, Witkeel-;420 
Bladkoning / Yellow-browed Warbler ;334
Bladkoning, Humes ;334
Blauwborst / Bluethroat ;278
blauwborst, Roodster- ;278
blauwborst, Witster- ;278
Blauwe Ekster / Iberian Magpie ;360
Blauwe Kiekendief / Hen Harrier ;104
Blauwe Nachtegaal / Siberian Blue Robin ;416
Blauwe Reiger / Grey Heron ;84
Blauwe Rotslister / Blue Rock Thrush ;296
Blauwe Vink / Blue Chaffinch ;376
Blauwe Zwartkeelzanger / Black-throated Blue Warbler ;421
Blauwkoparatinga / Blue-crowned Parakeet ;425
Blauwstaart / Red-flanked Bluetail ;278
Blauwvleugeltaling / Blue-winged Teal ;28
Blauwvleugelzanger / Blue-winged Warbler ;421
Bleke Rotsmus / Pale Rockfinch ;374
Blonde Ruiter / Buff-breasted Sandpiper ;166
Bobolink / Bobolink ;406
Bobwhite / Northern Bobwhite ;423
Boerenzwaluw / Barn Swallow ;260
Bokje / Jack Snipe ;160
Bolles Laurierduif / Bolle's Pigeon ;216
Bombvcilla cedrorum ;415
Bombvcilla garrulus ;272
Bonapartes Strandloper / White-rumped Sandpiper ;164
Bont Stormvogeltje / White-faced Storm Petrel ;74
Bontbekplevier / Common Ringed Plover ;138
Bonte IJsvogel / Pied Kingfisher ;238
Bonte Kraai / Hooded Crow ;366
Bonte Lister / Varied Thrush ;420
Bonte Stern / Sooty Tern ;204
Bonte Strandloper / Dunlin ;150
Bonte Tapuit / Pied Wheatear ;284
Bonte Vliegenvanger / European Pied Flycatcher ;340
Bonte Zanger / Black-and-white Warbler ;404
Boomklever / Eurasian Nuthatch ;348
Boomklever, Algeriinse ;348
Boomklever, Canadese ;421
Boomklever, Corsicaanse ;348
Boomklever, Turkse ;348
Boomkruiper / Short-toed Treecreeper ;350
boomkruiper, Kortsnavel- ;350
boomkruiper, Taiga- ;350
Boomleeuwerik / Woodlark ;250
Boompieper / Tree Pipit ;266
Boomvalk / Eurasian Hobby ;118
Boomzwaluw / Tree Swallow ;420
Bosgors / Rustic Bunting ;394
Boskoekoek / Oriental Cuckoo ;220
Bosrietzanger / Marsh Warbler ;320
Bosruiter / Wood Sandpiper ;154
Bosuil / Tawny Owl ;230
Botaurus lentiginosus ;80
Botaurus stellaris ;80
Braamsluiper / Lesser Whitethroat ;304
Braamsluiper, Humes ;304
Braamsluiper, Siberische ;304
Braamsluiper, Vale ;304
braamsluiper, Woestijn- ;304
Brachyramphus perdix ;420
Brandgans / Barnacle Goose ;20
Branta bernicla ;20
Branta canadensis ;20
Branta hrota ;20
Branta hutchinsit ;20
Branta leucopsis ;20
Branta nigricans ;20
Branta ruficollis ;22
Breedbekstrandloper / Broad-billed Sandpiper ;150
Brilduiker / Common Goldeneve ;42
Brilduiker, Islandse ;42
Brileider / Spectacled Eider ;408
Brilgrasmus / Spectacled Warbler ;308
Brilparulazanger / Northern Parula ;404
Brilstern / Bridled Tern ;204
Brilzee-eend / Surf Scoter ;38
Bronskopeend / Falcated Duck ;408
Bruine Boszanger / Dusky Warbler ;334
Bruine Gent / Brown Booby ;76
Bruine Kiekendief / Western Marsh Harrier ;102
Bruine Klauwier / Brown Shrike ;354
Bruine Krooneend / Southern Pochard ;418
Bruine Lister / Dusky Thrush ;300
Bruine Visuil / Brown Fish Owl ;222
Bruine Vliegenvanger / Asian Brown Flycatcher ;338
Bruingele Babbelaar / Fulvous Babbler ;360
Bruinkeelortolaan / Cretzschmar's Bunting ;396
Bruinkopgors / Red-headed Bunting ;400
Bruinkopkoevogel / Brown-headed Cowbird ;421
Bruinkopmees / Grey-headed Chickadee ;344
Bruinkopmeeuw / Brown-headed Gull ;419
Bruinnekraaf / Brown-necked Raven ;368
Bubo ascalaphus ;222
Bubo bubo ;222
Bubo scandiacus ;224
Bubo zeylonensis ;222
Bubulcus ibis ;82
Bucanetes githagineus ;390
Bucanetes mongolicus ;390
Bucephala albeola ;46
Bucephala clangula ;42
Bucephala islandica ;42
Buffelkopeend / Bufflehead ;46
Buidelmees / Eurasian Penduline Tit ;346
Buizerd / Common Buzzard ;108
buizerd, Arend- ;106
buizerd, Ruigpoot- ;108
buizerd, Steppe- ;106
Bulweria bulwerii ;72
Bulwers Stormvogel / Bulwer's Petrel ;72
Burgemeester, Grote ;194
Burgemeester, Kleine ;194
Burhinus oedicnemus ;136
senegalensis ;136
Buteo buteo ;108
Buteo buteo vulpinus ;106
Buteo lagopus ;108
Buteo rufinus ;106
Butorides striatus ;80
Butorides virescens ;80, ;410
Buulbuul, Arabische ;358
Buulbul, Grauwe ;358
buulbul, Witoor- ;358
Calandrella acutirostris ;420
Calandrella brachydactyla ;250
Calandrella rufescens ;250
Calcarius lapponicus ;394
Calidris acuminata ;166
Calidris alba ;148
Calidris alpina ;150
Calidris bairdii ;164
Calidris canutus ;148
Calidris ferruginea ;150
